Time Voltmeter Voltmeter
Run 1, started 02/05/2025 14:50:51
hh:mm:ss mV mV
00:00:00 54.16 186.19
00:00:01 54.14 184.68
00:00:02 54.14 184.68
00:00:03 54.12 417
00:00:04 54.12 417
00:00:05 54.25 622.59
00:00:06 54.25 622.59
00:00:07 54.2 666.31
00:00:08 54.2 666.31
00:00:09 54.08 697.17
00:00:10 54.08 697.17
00:00:11 53.98 717.27
00:00:12 53.98 717.27
00:00:13 53.85 733.87
00:00:14 53.85 733.87
00:00:15 53.73 745.72
00:00:16 53.73 745.72
00:00:17 53.62 753.27
00:00:18 53.62 753.27
00:00:19 53.5 758.34
00:00:20 53.5 758.34
00:00:21 53.41 762.65
00:00:22 53.41 762.65
00:00:23 53.3 766.59
00:00:24 53.3 766.59
00:00:25 53.18 769.16
00:00:26 53.18 769.16
00:00:27 53.06 771.23
00:00:28 53.06 771.23
00:00:29 52.95 772.8
00:00:30 52.95 772.8
00:00:31 52.84 774.23
00:00:32 52.84 774.23
00:00:33 52.73 775.11
00:00:34 52.73 775.11
00:00:35 52.63 776.44
00:00:36 52.63 776.44
00:00:37 52.54 777.4
00:00:38 52.54 777.4
00:00:39 52.43 778.2
00:00:40 52.43 778.2
00:00:41 52.33 778.61
00:00:42 52.33 778.61
00:00:43 52.22 779.07
00:00:44 52.22 779.07
00:00:45 52.12 779.64
00:00:46 52.12 779.64
00:00:47 52.04 780.03
00:00:48 52.04 780.03
00:00:49 51.94 780.51
00:00:50 51.94 780.51
00:00:51 51.84 781
00:00:52 51.84 781
00:00:53 51.75 781.2
00:00:54 51.75 781.2
00:00:55 51.66 781.43
00:00:56 51.66 781.43
00:00:57 51.57 781.46
00:00:58 51.57 781.46
00:00:59 51.48 781.61
00:01:00 51.48 781.61
00:01:01 51.4 781.84
00:01:02 51.4 781.84
00:01:03 51.32 781.86
00:01:04 51.32 781.86
00:01:05 51.23 781.94
00:01:06 51.23 781.94
00:01:07 51.16 782.09
00:01:08 51.16 782.09
00:01:09 51.06 782.1
00:01:10 51.06 782.1
00:01:11 50.98 782.07
00:01:12 50.98 782.07
00:01:13 50.91 781.63
00:01:14 50.91 781.63
00:01:15 50.83 781.28
00:01:16 50.83 781.28
00:01:17 50.75 781.06
00:01:18 50.75 781.06
00:01:19 50.67 781.18
00:01:20 50.67 781.18
00:01:21 50.59 781.35
00:01:22 50.59 781.35
00:01:23 50.52 781.23
00:01:24 50.52 781.23
00:01:25 50.44 781.36
00:01:26 50.44 781.36
00:01:27 50.37 781.29
00:01:28 50.37 781.29
00:01:29 50.3 781.53
00:01:30 50.3 781.53
00:01:31 50.23 781.46
00:01:32 50.23 781.46
00:01:33 50.16 781.21
00:01:34 50.16 781.21
00:01:35 50.1 781.01
00:01:36 50.1 781.01
00:01:37 50.02 781.01
00:01:38 50.02 781.01
00:01:39 49.98 780.96
00:01:40 49.98 780.96
00:01:41 49.91 780.75
00:01:42 49.91 780.75
00:01:43 49.84 780.45
00:01:44 49.84 780.45
00:01:45 49.78 779.79
00:01:46 49.78 779.79
00:01:47 49.72 780.2
00:01:48 49.72 780.2
00:01:49 49.66 780.16
00:01:50 49.66 780.16
00:01:51 49.61 780.27
00:01:52 49.61 780.27
00:01:53 49.54 780.11
00:01:54 49.54 780.11
00:01:55 49.49 779.85
00:01:56 49.49 779.85
00:01:57 49.42 779.92
00:01:58 49.42 779.92
00:01:59 49.37 779.81
00:02:00 49.37 779.81
00:02:01 49.31 779.71
00:02:02 49.31 779.71
00:02:03 49.26 779.44
00:02:04 49.26 779.44
00:02:05 49.21 779.33
00:02:06 49.21 779.33
00:02:07 49.15 779.2
00:02:08 49.15 779.2
00:02:09 49.11 779.06
00:02:10 49.11 779.06
00:02:11 49.05 778.88
00:02:12 49.05 778.88
00:02:13 49.01 778.49
00:02:14 49.01 778.49
00:02:15 48.96 777.87
00:02:16 48.96 777.87
00:02:17 48.91 777.89
00:02:18 48.91 777.89
00:02:19 48.85 778.01
00:02:20 48.85 778.01
00:02:21 48.81 777.97
00:02:22 48.81 777.97
00:02:23 48.77 777.82
00:02:24 48.77 777.82
00:02:25 48.73 777.85
00:02:26 48.73 777.85
00:02:27 48.67 777.84
00:02:28 48.67 777.84
00:02:29 48.63 777.75
00:02:30 48.63 777.75
00:02:31 48.58 777.59
00:02:32 48.58 777.59
00:02:33 48.55 777.45
00:02:34 48.55 777.45
00:02:35 48.51 777.37
00:02:36 48.51 777.37
00:02:37 48.47 777.2
00:02:38 48.47 777.2
00:02:39 48.42 777.05
00:02:40 48.42 777.05
00:02:41 48.39 777.04
00:02:42 48.39 777.04
00:02:43 48.35 776.88
00:02:44 48.35 776.88
00:02:45 48.3 776.88
00:02:46 48.3 776.88
00:02:47 48.26 776.78
00:02:48 48.26 776.78
00:02:49 48.23 776.65
00:02:50 48.23 776.65
00:02:51 48.19 776.65
00:02:52 48.19 776.65
00:02:53 48.15 776.46
00:02:54 48.15 776.46
00:02:55 48.12 776.35
00:02:56 48.12 776.35
00:02:57 48.07 776.21
00:02:58 48.07 776.21
00:02:59 48.04 775.94
00:03:00 48.04 775.94
00:03:01 48.02 775.94
00:03:02 48.02 775.94
00:03:03 47.98 775.9
00:03:04 47.98 775.9
00:03:05 47.95 775.97
00:03:06 47.95 775.97
00:03:07 47.91 775.85
00:03:08 47.91 775.85
00:03:09 47.88 775.48
00:03:10 47.88 775.48
00:03:11 47.85 775.61
00:03:12 47.85 775.61
00:03:13 47.82 775.65
00:03:14 47.82 775.65
00:03:15 47.78 775.44
00:03:16 47.78 775.44
00:03:17 47.75 775.41
00:03:18 47.75 775.41
00:03:19 47.73 775.39
00:03:20 47.73 775.39
00:03:21 47.7 775.33
00:03:22 47.7 775.33
00:03:23 47.67 775.21
00:03:24 47.67 775.21
00:03:25 47.64 775.03
00:03:26 47.64 775.03
00:03:27 47.62 774.92
00:03:28 47.62 774.92
00:03:29 47.58 775.1
00:03:30 47.58 775.1
00:03:31 47.53 775.1
00:03:32 47.53 775.1
00:03:33 47.51 775
00:03:34 47.51 775
00:03:35 47.48 774.93
00:03:36 47.48 774.93
00:03:37 47.46 774.87
00:03:38 47.46 774.87
00:03:39 47.43 774.5
00:03:40 47.43 774.5
00:03:41 47.4 774.73
00:03:42 47.4 774.73
00:03:43 47.38 774.64
00:03:44 47.38 774.64
00:03:45 47.37 774.6
00:03:46 47.37 774.6
00:03:47 47.33 774.31
00:03:48 47.33 774.31
00:03:49 47.31 774.43
