,potential1 (mV vs Hg/HgO),hold1 (s),potential3 (mV vs Hg/HgO),hold2 (s),potential2 (mV vs Hg/HgO),sweep speed (mV/s),cycle (P2-P3),duration (s),duration (h),duration (min)
0,1467,1061,129,0,900,249,100,1376.012048192771,0.3822255689424364,23.0
1,131,1290,-224,0,900,692,100,1452.9407514450868,0.4035946531791908,24.0
2,-1302,305,-931,0,900,344,100,838.3459302325582,0.23287386950904396,14.0
3,1096,70,-330,0,900,889,100,209.96175478065243,0.05832270966129234,3.0
4,1202,1196,-540,0,900,757,100,1388.5257595772787,0.3857015998825774,23.0
5,139,1513,-1601,0,900,58,47,3569.6724137931033,0.9915756704980843,59.0
6,-793,1713,-874,0,900,316,100,2274.6487341772154,0.6318468706047821,38.0
7,-1627,516,65,0,900,663,100,644.4947209653092,0.17902631137925254,11.0
8,679,380,-1959,0,900,503,100,953.6341948310139,0.26489838745305944,16.0
9,1993,1322,-1094,0,900,150,100,2671.913333333333,0.742198148148148,45.0
